Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Search By Keywoed,Chrome 120.0.0.0,,,16-01-2024 15:17:28,16-01-2024 15:19:27,1m - 59.087s,PASSED
,,,,,,,
Test Cases/TC0103 - Search By Keyword-pbru,Chrome 120.0.0.0,,,16-01-2024 15:17:28,16-01-2024 15:17:49,21.202s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:17:28,16-01-2024 15:17:30,1.250s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:17:30,16-01-2024 15:17:32,2.272s,PASSED
"setText(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""pbru"")",Chrome 120.0.0.0,,,16-01-2024 15:17:32,16-01-2024 15:17:47,14.610s,PASSED
"click(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:17:47,16-01-2024 15:17:47,0.557s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเพชรบุรี"", false)",Chrome 120.0.0.0,,,16-01-2024 15:17:47,16-01-2024 15:17:49,2.196s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:17:49,16-01-2024 15:17:49,0.129s,PASSED
,,,,,,,
Test Cases/TC0102 - Search By Keyword - kru university,Chrome 120.0.0.0,,,16-01-2024 15:17:49,16-01-2024 15:18:20,30.303s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:17:50,16-01-2024 15:17:50,0.622s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:17:50,16-01-2024 15:17:52,1.418s,PASSED
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""npru"")",Chrome 120.0.0.0,,,16-01-2024 15:17:52,16-01-2024 15:18:17,25.225s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:18:17,16-01-2024 15:18:18,0.788s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 120.0.0.0,,,16-01-2024 15:18:18,16-01-2024 15:18:20,2.082s,PASSED
